,cell_id,x,y,type,color
137,172950,20165,9828,5,#86cfa5
138,172955,20168,8808,0,#dd4a4c
139,172963,20171,8656,5,#86cfa5
140,172968,20165,9380,0,#dd4a4c
141,172975,20169,9015,0,#dd4a4c
142,172976,20164,9225,0,#dd4a4c
143,172987,20177,8684,0,#dd4a4c
144,172996,20173,9155,0,#dd4a4c
145,172997,20177,9473,0,#dd4a4c
146,173024,20184,9450,0,#dd4a4c
147,173025,20173,9537,0,#dd4a4c
148,173030,20207,9668,0,#dd4a4c
149,173037,20175,8975,0,#dd4a4c
150,173038,20174,9251,0,#dd4a4c
151,173039,20177,9572,0,#dd4a4c
152,173046,20170,9272,0,#dd4a4c
153,173047,20171,9331,0,#dd4a4c
154,173055,20177,9178,0,#dd4a4c
155,173071,20183,9684,0,#dd4a4c
156,173080,20187,8912,0,#dd4a4c
157,173087,20181,9043,0,#dd4a4c
158,173088,20188,9087,0,#dd4a4c
159,173097,20183,9104,0,#dd4a4c
160,173098,20189,9350,0,#dd4a4c
161,173104,20180,8725,0,#dd4a4c
162,173113,20193,8638,5,#86cfa5
163,173131,20200,8956,0,#dd4a4c
164,173141,20202,8997,0,#dd4a4c
165,173142,20187,9616,0,#dd4a4c
166,173161,20192,9199,0,#dd4a4c
167,173183,20203,9639,0,#dd4a4c
168,173184,20195,9703,0,#dd4a4c
169,173193,20197,9500,0,#dd4a4c
170,173200,20207,8785,0,#dd4a4c
171,173209,20215,9073,0,#dd4a4c
172,173216,20209,9292,0,#dd4a4c
173,173221,20193,9525,0,#dd4a4c
174,173244,20198,8813,0,#dd4a4c
175,173245,20210,9248,0,#dd4a4c
176,173258,20205,8557,5,#86cfa5
177,173259,20200,9330,0,#dd4a4c
178,173268,20192,8867,0,#dd4a4c
179,173269,20209,9044,0,#dd4a4c
180,173270,20209,9175,0,#dd4a4c
181,173271,20193,9230,0,#dd4a4c
182,173272,20208,9422,0,#dd4a4c
183,173274,20206,9743,0,#dd4a4c
184,173292,20215,8585,0,#dd4a4c
185,173293,20211,9106,0,#dd4a4c
186,173294,20198,9587,0,#dd4a4c
187,173301,20232,8616,0,#dd4a4c
188,173337,20220,8660,5,#86cfa5
189,173348,20225,8739,5,#86cfa5
190,173349,20222,9703,0,#dd4a4c
