,cell_id,x,y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
23,171256,19927,9172,10.841335,4.690903,1.7921149,1.8742038,4.737375,2.4890518,4.519568,2.528537,3.7914286,1.79164,7.2878094,5.2366323,5.4553504,3.1900318,6.344726,7.1133647,6.301984,6.1670837,4.9473214,5.8301625
24,171289,19941,9116,10.716787,5.292705,2.9678023,1.5754423,4.777441,2.606916,5.435943,1.994454,3.7070327,2.8076043,7.199858,5.4867086,4.7835217,3.1855273,6.103164,6.7863603,5.5530176,6.257043,4.3606706,5.227634
25,171302,19945,9487,10.797757,4.058165,1.8556886,2.14241,5.196451,2.6822262,4.718621,2.386931,3.9259717,2.1650257,7.1982827,5.576717,4.8031354,3.0849411,5.6908264,6.6197157,5.8628106,5.61378,4.7376566,6.07725
26,171303,19939,9609,10.650404,4.372075,2.3183453,2.1625695,4.108834,2.4799678,4.6736956,2.4274988,4.2471414,2.7057962,7.356267,5.6560154,4.903251,3.5263288,5.8992815,6.9738674,5.3585744,5.9685235,5.042316,5.1545873
27,171326,19950,9076,10.516341,4.802055,2.2008371,1.772048,5.445783,2.5066931,4.837969,2.3521142,4.1774178,2.826896,6.9242535,5.830088,5.47721,3.4661825,5.4471436,5.838267,5.4426556,5.6563106,5.3757076,6.1827793
28,171327,19944,9569,10.806806,4.442431,2.0757995,1.975823,5.3329186,2.913915,4.8981137,2.482055,3.9894223,1.9890478,7.3052197,5.7976494,5.5739417,3.1049225,6.2987895,6.7920256,5.8813643,5.3605757,4.8132734,6.3016906
29,171334,19946,9148,10.721447,4.666111,2.0143664,1.7416115,5.2299376,2.231017,4.6842203,2.2926474,3.4228904,2.2777066,7.709497,5.3529286,5.427097,3.3129914,6.161531,6.566115,6.294164,5.510026,4.370403,5.619172
30,171338,19954,9002,10.894313,4.2259784,1.9878007,1.8422312,4.8774195,3.0430884,4.92588,2.721654,4.4307923,2.3474216,7.355692,6.0361257,5.2005177,2.9982128,5.2863116,6.45116,5.3715515,5.5246305,5.085619,5.909096
31,171339,19953,9048,10.693537,4.7581525,1.9204445,2.2246072,5.042871,2.9515736,5.010222,2.4308414,4.4032946,2.941261,6.4966025,6.1256795,5.307542,3.5446904,5.9578753,5.922967,5.930791,5.359794,4.8092766,5.8297834
32,171340,19946,9272,10.168891,4.3677583,2.264249,2.54909,5.3004193,2.471788,4.430669,2.3838108,3.553874,1.995719,6.9604845,5.64177,4.996527,3.7561011,5.9048734,6.2808447,6.0774336,6.307233,5.045403,6.15357
33,171341,19950,9451,10.728317,4.5350914,2.1298082,2.1210363,4.2706614,2.3835394,4.229368,2.3258164,3.863914,2.716495,7.3568096,5.061882,4.911622,3.6768892,6.1041694,6.667594,5.701834,6.35597,4.7258945,5.1635475
34,171348,19951,9421,10.8102865,4.701494,2.4609613,1.7621131,4.351934,2.7705827,4.52461,2.3570273,3.5004623,2.3710592,7.8633513,4.996753,5.1086383,3.1714354,6.7620153,7.2925715,5.21981,6.133202,5.015538,5.7899117
35,171373,19950,9251,10.440637,4.92966,2.031903,2.0108526,5.487142,2.6618404,4.7559533,2.5243926,4.1312513,3.0759466,6.789564,6.0201507,5.426114,3.578205,5.385939,6.2061586,5.784974,5.4919963,5.426429,5.7865367
36,171387,19956,8974,10.4411745,5.0528164,2.0933797,2.1832218,5.378301,2.774557,4.660879,2.6125207,4.014367,3.1612182,6.799198,5.9997864,5.393883,3.5915496,5.5684924,6.677754,5.890234,5.4643054,5.4107943,5.6368074
37,171388,19959,9334,10.918413,4.6722455,2.3009858,2.102135,4.4001336,2.756776,4.6167197,2.1926441,3.8774831,2.7418742,7.0070257,5.305835,5.416469,3.7855237,6.735101,6.4995294,5.9798756,5.721438,4.2996607,6.06143
38,171402,19956,9319,10.632598,4.471999,2.1996658,2.4571617,5.0976634,2.576704,5.1344466,2.3824883,4.4541407,2.7658334,6.261102,5.7610483,5.7177396,4.312057,5.629351,6.184407,6.4155207,5.4167852,3.8686588,5.960547
39,171417,19951,9532,10.8098,4.704576,2.41589,1.7481744,4.358959,2.820828,4.540675,2.3654566,3.5409272,2.32021,7.8636446,5.039602,5.0833745,3.1137369,6.763371,7.2307353,5.211657,6.117108,5.0387406,5.8214064
40,171428,19960,9130,10.622178,4.698656,2.0135581,2.0036857,5.2768054,2.614886,4.5142174,2.4998875,3.6901927,1.9092263,7.8943367,5.523448,5.0617537,3.1056054,5.8549767,6.212032,5.7310677,5.0574245,4.9696064,6.0484195
41,171429,19961,9384,10.653122,3.966424,1.9612414,2.106389,4.6827474,2.7952778,4.980938,2.325412,3.5079696,2.348861,7.5187984,5.6345444,5.4376316,3.6044118,6.8404746,6.4322762,5.6383877,5.7133145,4.9773326,5.6188703
42,171437,19965,9864,10.818057,4.78191,2.289135,1.9675684,4.303461,2.7799435,4.703226,2.4195263,3.301878,2.4946215,7.5082383,5.3880267,4.942896,3.283094,6.55191,7.0533414,5.441851,6.0026364,4.7835507,5.6073503
43,171455,19965,9087,10.7978,5.194102,2.176169,1.7318451,4.798662,2.5903282,5.230911,2.3373582,3.698008,2.6103776,7.028585,5.636472,4.8249316,2.9479027,6.0122576,6.4617133,5.694272,6.2034225,4.4977903,5.5064006
44,171459,19965,9360,10.613403,5.1507626,1.9982063,2.4666183,4.6105046,2.8443053,4.1953964,2.5459197,4.1008863,2.556809,7.244053,5.6874347,5.0851355,3.3019986,6.3722816,6.354663,5.5265102,5.3623753,5.4474945,6.3607764
45,171489,19967,9104,10.666136,4.5219502,2.069095,2.4354694,5.1867895,2.6910572,4.6469793,2.288728,4.090046,2.335329,6.3605328,5.217737,4.8061466,3.8426309,5.4638877,6.53529,6.400539,5.8635645,4.0268097,6.1140237
46,171490,19974,9188,10.920676,4.597135,2.3953831,1.7997057,4.0058117,2.973653,4.2517395,2.4717588,3.5314538,2.2415915,8.269023,4.664237,4.8644705,3.026521,6.906715,7.167306,4.767864,6.1795235,4.9635735,6.0932326
47,171491,19961,9590,10.596625,4.5276756,2.1754022,2.1486375,4.977501,2.2849197,4.633976,2.1457589,4.125865,2.5921235,6.6175876,5.1315517,4.9865623,3.7194877,5.6320715,6.5041857,5.705618,6.1434555,4.565509,6.380883
48,171514,19967,8900,10.913476,4.7341814,1.5744673,1.7948616,4.9671764,2.9052176,4.6913066,2.7697134,3.5406563,2.253874,7.3454766,5.5064025,4.7262974,2.8966472,5.6621284,6.344398,6.0564227,5.920759,4.351945,5.5181828
49,171520,19973,8977,10.864855,4.7273564,1.536032,1.6474156,5.0946064,2.467315,4.7527566,2.3935647,3.669926,2.5464609,7.0431514,5.8574667,5.012798,2.5961015,6.5239,6.474995,6.3918447,5.9572988,4.443653,5.368695
50,171521,19967,9459,10.896946,5.1585646,2.5916104,1.6998928,4.17967,2.6497552,4.5764527,2.336354,3.4459126,2.6479578,7.5716352,4.998254,4.9118814,3.2447495,6.5545006,7.254043,5.25889,6.1457186,4.689337,5.7153306
51,171533,19975,8933,10.718036,4.713965,2.650809,2.0005567,5.4783926,2.6985443,5.040585,2.4190793,3.9865973,1.6916922,6.883687,5.825366,5.5129614,3.8052444,5.651994,6.2694426,6.062874,5.8725963,4.4306655,6.5287666
52,171534,19976,9056,10.945368,4.566888,2.2923079,1.9394327,4.059404,2.8098965,4.036822,2.5255058,3.5808213,2.2903512,8.234328,4.5391684,4.949445,3.136688,6.853617,7.059008,4.834606,6.199436,4.9525323,6.158673
53,171553,19978,9009,10.960396,4.579969,2.2208798,1.9613166,4.038381,2.802767,3.9325542,2.5746398,3.6457052,2.3091974,8.334611,4.4340568,5.0339317,3.1289496,6.974492,6.9764585,4.7195554,6.1657863,4.9888835,6.2893577
54,171554,19977,9238,10.880641,4.542642,2.4282007,1.7081314,4.0045314,3.0588753,4.4000235,2.3809686,3.4389558,2.176764,8.228497,4.800711,4.7441707,2.9807959,6.9049916,7.221036,4.7983055,6.2382035,5.0590906,6.047963
55,171555,19971,9500,10.890591,4.7209625,2.4721007,1.7785456,4.084542,2.9141982,4.361663,2.3924868,3.4725983,2.3174286,8.147155,4.773726,4.858316,3.0723553,6.878162,7.2316732,4.857948,6.218216,4.951235,6.0189533
56,171574,19980,9341,10.848912,4.679697,2.3160148,1.9132718,4.17327,3.1646342,4.4123483,2.5516713,3.648118,2.0793834,7.796227,4.964074,4.7129636,3.0676148,6.3937674,6.941502,5.196692,6.0823874,4.820439,5.9737473
57,171575,19980,9850,10.77626,5.248097,2.978909,1.5789317,4.709136,2.6523976,5.376424,2.0194516,3.733624,2.8315797,7.2354765,5.4798617,4.767202,3.1741037,6.147749,6.8578615,5.5001254,6.286294,4.3301535,5.187032
58,171581,19983,9540,10.725685,5.055418,2.378702,1.9285897,4.4535165,2.7015076,4.861338,2.2004218,3.5481741,2.4706275,7.1813517,5.2020946,4.853449,3.3284054,6.3450384,6.9676337,5.388534,6.2631655,4.776082,5.9096518
59,171587,19980,9397,10.405264,4.821473,2.052415,2.1935797,5.0387588,2.3794785,4.5448055,2.7433963,4.214215,2.4569592,6.100866,5.617514,5.5583606,3.407047,5.333652,6.4019065,6.6810703,5.520524,4.480767,5.7454824
